app_name,platform,developer_company,app_category,version_number,version_release_date,is_current_version,initial_app_release_date,update_description_release_notes,standardized_update_categories,standardized_update_summary,source_url,data_quality_notes
Instagram,iOS,"Instagram, Inc.",Social Media,428.1.0,2026-05-04,Yes,2010-10-06,"Performance optimizations and stability improvements for a smoother, more reliable experience.",,,https://apps.apple.com/us/app/instagram/id389801252?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
TikTok,iOS,TIKTOK PTE. LTD.,Social Media,44.9.0,2026-04-27,Yes,2014-04-02,We've made it even easier to shoot videos!,,,https://apps.apple.com/us/app/tiktok-videos-shop-live/id835599320?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
YouTube,iOS,Google LLC,Entertainment / Video,21.18.4,2026-05-03,Yes,2012-09-11,"Bug fixes, stability improvements, repairs to space-time continuum.",,,https://apps.apple.com/us/app/youtube/id544007664?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
Netflix,iOS,"Netflix, Inc.",Entertainment / Streaming,18.30.0,2026-05-04,Yes,2010-04-01,"We’re working on the app experience. You work on what, when, and how you watch next. That's equally as important.

We know you have choices. In this release, we made gallery improvements so it’s easier to find the perfect thing to watch.",,,https://apps.apple.com/us/app/netflix/id363590051?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
Spotify,iOS,Spotify,Music / Audio,9.1.44,2026-04-29,Yes,2011-07-14,"We’re always making changes and improvements to Spotify. To make sure you don’t miss a thing, just keep your Updates turned on.",,,https://apps.apple.com/us/app/spotify-music-and-podcasts/id324684580?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
Uber,iOS,"Uber Technologies, Inc.",Transportation,3.720.10000,2026-05-04,Yes,2010-05-21,"We update the Uber app as often as possible to make it faster and more reliable for you. Here are a couple of the enhancements you'll find in the latest update:

- Updates to improve localization across the app
- Various bug fixes & improvements
  
Love the app? Rate us! Your feedback keeps the Uber engine running.
Have a question? Tap Help in the Uber app or visit help.uber.com.",,,https://apps.apple.com/us/app/uber-request-a-ride/id368677368?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
DoorDash,iOS,"DoorDash, Inc.",Food Delivery,8.17.0,2026-05-04,Yes,2013-10-10,Minor updates and performance improvements,,,https://apps.apple.com/us/app/doordash-food-grocery-more/id719972451?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
Amazon Shopping,iOS,AMZN Mobile LLC,Shopping,27.8.0,2026-04-20,Yes,2008-12-03,"Our new design provides easier access to the features you use most while on the go. This includes the homepage, account and order information, your cart and the ability to browse and discover Amazon departments, products, programs, and features.",,,https://apps.apple.com/us/app/amazon-shopping/id297606951?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
PayPal,iOS,"PayPal, Inc.",Finance,8.106.0,2026-05-04,Yes,2019-02-03,"Get the latest update, so you can pay, send and save smarter. Unlock cash back offers and more. With PayPal, it really adds up.",,,https://apps.apple.com/us/app/paypal-pay-send-save/id283646709?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
Google Docs,iOS,Google LLC,Productivity,1.2026.18100,2026-05-04,Yes,2014-04-30,"* Security improvements, bug fixes, and performance improvements.",,,https://apps.apple.com/us/app/google-docs/id842842640?uo=4,"Current iOS metadata collected with Apple iTunes Lookup API. For longer iOS version history, use app-store-scraper versionHistory output if available."
