"app_name","platform","developer_company","app_category","version_number","version_release_date","is_current_version","initial_app_release_date","update_description_release_notes","standardized_update_categories","standardized_update_summary","source_url","data_quality_notes"
"Instagram","iOS","Instagram, Inc.","Photo & Video","428.1.0","Unavailable","Yes","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows relative release time only ('14h ago'); exact date unavailable."
"Instagram","iOS","Instagram, Inc.","Photo & Video","426.0.0","2026-04-20","No","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows month/day only; year normalized to 2026 from page context."
"Instagram","iOS","Instagram, Inc.","Photo & Video","425.0.0","2026-04-13","No","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows month/day only; year normalized to 2026 from page context."
"Instagram","iOS","Instagram, Inc.","Photo & Video","424.1","2026-04-09","No","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows month/day only; year normalized to 2026 from page context."
"Instagram","iOS","Instagram, Inc.","Photo & Video","424.0.0","2026-04-06","No","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows month/day only; year normalized to 2026 from page context."
"Instagram","iOS","Instagram, Inc.","Photo & Video","423.1.0","2026-04-02","No","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows month/day only; year normalized to 2026 from page context."
"Instagram","iOS","Instagram, Inc.","Photo & Video","423.0.0","2026-03-30","No","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows month/day only; year normalized to 2026 from page context."
"Instagram","iOS","Instagram, Inc.","Photo & Video","422.1.0","2026-03-25","No","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows month/day only; year normalized to 2026 from page context."
"Instagram","iOS","Instagram, Inc.","Photo & Video","422.0.0","2026-03-24","No","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows month/day only; year normalized to 2026 from page context."
"Instagram","iOS","Instagram, Inc.","Photo & Video","421.1.0","2026-03-17","No","Unavailable","Performance optimizations and stability improvements for a smoother, more reliable experience.","Bug fixes / performance improvements","Maintenance update focused on performance and stability improvements.","https://apps.apple.com/us/app/instagram/id389801252","Apple App Store shows month/day only; year normalized to 2026 from page context."
